,dl19,dl19,dl19,dl19,dl20,dl20,dl20,dl20,dlhard,dlhard,dlhard,dlhard
,AP(rel=2),nDCG@10,RR(rel=2),P(rel=2)@3,AP(rel=2),nDCG@10,RR(rel=2),P(rel=2)@3,AP(rel=2),nDCG@10,RR(rel=2),P(rel=2)@3
pipeline,,,,,,,,,,,,
BM25,0.286,0.48,0.642,0.473,0.293,0.494,0.619,0.463,0.147,0.274,0.422,0.24
TCT-ColBERT-v2,0.438,0.712,0.875,0.713,0.469,0.69,0.847,0.654,0.22,0.371,0.506,0.327
edgegat-lexical-ms200,0.426,0.671,0.827,0.698,0.442,0.655,0.81,0.63,0.213,0.359,0.509,0.287
edgegat-semantic-ms200,0.448,0.679,0.837,0.736,0.449,0.656,0.789,0.623,0.213,0.355,0.503,0.327
gat-lexical-ms200,0.439,0.689,0.842,0.752,0.46,0.68,0.808,0.648,0.224,0.362,0.53,0.347
gcn-lexical-ms200,0.271,0.416,0.495,0.372,0.214,0.33,0.462,0.253,0.124,0.181,0.283,0.12
gcn-semantic-ms200,0.424,0.665,0.772,0.682,0.434,0.633,0.745,0.586,0.204,0.322,0.427,0.307
gin-lexical-ms200,0.429,0.679,0.841,0.705,0.445,0.66,0.764,0.636,0.203,0.349,0.484,0.32
sage-lexical-ms200,0.415,0.665,0.801,0.698,0.439,0.662,0.789,0.63,0.214,0.359,0.489,0.333
selfattn-ms200,0.44,0.691,0.842,0.752,0.46,0.674,0.824,0.673,0.23,0.374,0.523,0.367
signed-lexical-ms200,0.427,0.689,0.863,0.721,0.443,0.668,0.797,0.648,0.221,0.373,0.53,0.32
