,dl19,dl19,dl19,dl19,dl20,dl20,dl20,dl20,dlhard,dlhard,dlhard,dlhard
,AP(rel=2),nDCG@10,RR(rel=2),P(rel=2)@3,AP(rel=2),nDCG@10,RR(rel=2),P(rel=2)@3,AP(rel=2),nDCG@10,RR(rel=2),P(rel=2)@3
pipeline,,,,,,,,,,,,
BM25,0.286,0.48,0.642,0.473,0.293,0.494,0.619,0.463,0.147,0.274,0.422,0.24
TCT-ColBERT-v2,0.438,0.712,0.875,0.713,0.469,0.69,0.847,0.654,0.22,0.371,0.506,0.327
edgegat-lexical,0.424,0.669,0.823,0.698,0.442,0.656,0.809,0.63,0.214,0.36,0.508,0.3
edgegat-semantic,0.451,0.68,0.837,0.729,0.449,0.655,0.789,0.623,0.212,0.355,0.502,0.32
gat-lexical,0.446,0.693,0.871,0.729,0.454,0.667,0.827,0.648,0.233,0.373,0.557,0.367
gcn-lexical,0.183,0.27,0.4,0.225,0.138,0.242,0.345,0.185,0.075,0.12,0.211,0.073
gcn-semantic,0.348,0.524,0.605,0.519,0.332,0.504,0.595,0.451,0.144,0.223,0.301,0.2
gin-lexical,0.426,0.675,0.852,0.698,0.442,0.648,0.769,0.636,0.201,0.338,0.482,0.313
sage-lexical,0.427,0.677,0.82,0.721,0.442,0.67,0.813,0.636,0.215,0.365,0.508,0.32
selfattn-1stage,0.442,0.691,0.873,0.744,0.462,0.678,0.822,0.698,0.217,0.357,0.49,0.347
signed-lexical,0.435,0.686,0.839,0.705,0.451,0.675,0.821,0.642,0.229,0.377,0.542,0.347
