name qid measure value
" +GAT" 1049519 AP(rel=2) 0.5
" +GAT" 1049519 RR(rel=2) 0.5
" +GAT" 1049519 P(rel=2)@3 0.3333333333333333
" +GAT" 1049519 R(rel=2)@1000 1.0
" +GAT" 1049519 nDCG@10 0.45819933371607996
" +GAT" 1056204 AP(rel=2) 0.42627551020408166
" +GAT" 1056204 RR(rel=2) 1.0
" +GAT" 1056204 P(rel=2)@3 0.3333333333333333
" +GAT" 1056204 R(rel=2)@1000 0.7142857142857143
" +GAT" 1056204 nDCG@10 0.5497973776548533
" +GAT" 1056416 AP(rel=2) 0.1625
" +GAT" 1056416 RR(rel=2) 0.2
" +GAT" 1056416 P(rel=2)@3 0.0
" +GAT" 1056416 R(rel=2)@1000 1.0
" +GAT" 1056416 nDCG@10 0.2921310628884586
" +GAT" 1065636 AP(rel=2) 0.008620689655172414
" +GAT" 1065636 RR(rel=2) 0.017241379310344827
" +GAT" 1065636 P(rel=2)@3 0.0
" +GAT" 1065636 R(rel=2)@1000 0.5
" +GAT" 1065636 nDCG@10 0.0
" +GAT" 1103153 AP(rel=2) 1.0
" +GAT" 1103153 RR(rel=2) 1.0
" +GAT" 1103153 P(rel=2)@3 0.6666666666666666
" +GAT" 1103153 R(rel=2)@1000 1.0
" +GAT" 1103153 nDCG@10 1.0
" +GAT" 1103812 AP(rel=2) 0.42088196021452345
" +GAT" 1103812 RR(rel=2) 1.0
" +GAT" 1103812 P(rel=2)@3 0.6666666666666666
" +GAT" 1103812 R(rel=2)@1000 0.9090909090909091
" +GAT" 1103812 nDCG@10 0.6779729054851454
" +GAT" 1105792 AP(rel=2) 0.7945054945054945
" +GAT" 1105792 RR(rel=2) 1.0
" +GAT" 1105792 P(rel=2)@3 1.0
" +GAT" 1105792 R(rel=2)@1000 1.0
" +GAT" 1105792 nDCG@10 0.79593502964602
" +GAT" 1106007 AP(rel=2) 0.3201492888268261
" +GAT" 1106007 RR(rel=2) 1.0
" +GAT" 1106007 P(rel=2)@3 1.0
" +GAT" 1106007 R(rel=2)@1000 0.5609756097560976
" +GAT" 1106007 nDCG@10 0.6816965723763613
" +GAT" 1108100 AP(rel=2) 0.11488095238095239
" +GAT" 1108100 RR(rel=2) 0.14285714285714285
" +GAT" 1108100 P(rel=2)@3 0.0
" +GAT" 1108100 R(rel=2)@1000 0.75
" +GAT" 1108100 nDCG@10 0.13306594480882913
" +GAT" 1108939 AP(rel=2) 0.0007680491551459293
" +GAT" 1108939 RR(rel=2) 0.0015360983102918587
" +GAT" 1108939 P(rel=2)@3 0.0
" +GAT" 1108939 R(rel=2)@1000 0.5
" +GAT" 1108939 nDCG@10 0.0
" +GAT" 1109707 AP(rel=2) 0.2953217506943708
" +GAT" 1109707 RR(rel=2) 1.0
" +GAT" 1109707 P(rel=2)@3 1.0
" +GAT" 1109707 R(rel=2)@1000 0.711864406779661
" +GAT" 1109707 nDCG@10 0.7341673790059979
" +GAT" 1112341 AP(rel=2) 0.21118941053753482
" +GAT" 1112341 RR(rel=2) 1.0
" +GAT" 1112341 P(rel=2)@3 1.0
" +GAT" 1112341 R(rel=2)@1000 0.5714285714285714
" +GAT" 1112341 nDCG@10 0.7917267193679839
" +GAT" 1114646 AP(rel=2) 0.43438345121697525
" +GAT" 1114646 RR(rel=2) 1.0
" +GAT" 1114646 P(rel=2)@3 1.0
" +GAT" 1114646 R(rel=2)@1000 0.6666666666666666
" +GAT" 1114646 nDCG@10 0.7951918985317078
" +GAT" 1117817 AP(rel=2) 0.0
" +GAT" 1117817 RR(rel=2) 0.0
" +GAT" 1117817 P(rel=2)@3 0.0
" +GAT" 1117817 R(rel=2)@1000 0.0
" +GAT" 1117817 nDCG@10 0.0
" +GAT" 1133485 AP(rel=2) 0.004901960784313725
" +GAT" 1133485 RR(rel=2) 0.0196078431372549
" +GAT" 1133485 P(rel=2)@3 0.0
" +GAT" 1133485 R(rel=2)@1000 0.25
" +GAT" 1133485 nDCG@10 0.0
" +GAT" 1136769 AP(rel=2) 0.5212765957446809
" +GAT" 1136769 RR(rel=2) 1.0
" +GAT" 1136769 P(rel=2)@3 0.3333333333333333
" +GAT" 1136769 R(rel=2)@1000 1.0
" +GAT" 1136769 nDCG@10 0.5472507892596684
" +GAT" 144862 AP(rel=2) 0.2989297006065299
" +GAT" 144862 RR(rel=2) 0.5
" +GAT" 144862 P(rel=2)@3 0.6666666666666666
" +GAT" 144862 R(rel=2)@1000 1.0
" +GAT" 144862 nDCG@10 0.3422220729283414
" +GAT" 166046 AP(rel=2) 0.15555555555555556
" +GAT" 166046 RR(rel=2) 0.1111111111111111
" +GAT" 166046 P(rel=2)@3 0.0
" +GAT" 166046 R(rel=2)@1000 1.0
" +GAT" 166046 nDCG@10 0.2239904079101565
" +GAT" 174463 AP(rel=2) 0.17046743707738865
" +GAT" 174463 RR(rel=2) 1.0
" +GAT" 174463 P(rel=2)@3 1.0
" +GAT" 174463 R(rel=2)@1000 0.3225806451612903
" +GAT" 174463 nDCG@10 0.6884495685041353
" +GAT" 177604 AP(rel=2) 0.32370370370370366
" +GAT" 177604 RR(rel=2) 0.3333333333333333
" +GAT" 177604 P(rel=2)@3 0.3333333333333333
" +GAT" 177604 R(rel=2)@1000 1.0
" +GAT" 177604 nDCG@10 0.48150971940204085
" +GAT" 182539 AP(rel=2) 0.33290164568371217
" +GAT" 182539 RR(rel=2) 1.0
" +GAT" 182539 P(rel=2)@3 0.6666666666666666
" +GAT" 182539 R(rel=2)@1000 1.0
" +GAT" 182539 nDCG@10 0.697345030871074
" +GAT" 190044 AP(rel=2) 0.03100358422939068
" +GAT" 190044 RR(rel=2) 0.1111111111111111
" +GAT" 190044 P(rel=2)@3 0.0
" +GAT" 190044 R(rel=2)@1000 0.5
" +GAT" 190044 nDCG@10 0.09630179040413699
" +GAT" 19335 AP(rel=2) 0.3463258539993689
" +GAT" 19335 RR(rel=2) 1.0
" +GAT" 19335 P(rel=2)@3 0.6666666666666666
" +GAT" 19335 R(rel=2)@1000 1.0
" +GAT" 19335 nDCG@10 0.5424928135515639
" +GAT" 264403 AP(rel=2) 0.25
" +GAT" 264403 RR(rel=2) 0.5
" +GAT" 264403 P(rel=2)@3 0.3333333333333333
" +GAT" 264403 R(rel=2)@1000 0.5
" +GAT" 264403 nDCG@10 0.24249682153453903
" +GAT" 273695 AP(rel=2) 0.1592687074829932
" +GAT" 273695 RR(rel=2) 0.5
" +GAT" 273695 P(rel=2)@3 0.3333333333333333
" +GAT" 273695 R(rel=2)@1000 0.7142857142857143
" +GAT" 273695 nDCG@10 0.28782205350868467
" +GAT" 315637 AP(rel=2) 0.2727272727272727
" +GAT" 315637 RR(rel=2) 1.0
" +GAT" 315637 P(rel=2)@3 0.3333333333333333
" +GAT" 315637 R(rel=2)@1000 0.5
" +GAT" 315637 nDCG@10 0.4608248614420479
" +GAT" 332593 AP(rel=2) 0.3895522558033931
" +GAT" 332593 RR(rel=2) 1.0
" +GAT" 332593 P(rel=2)@3 0.6666666666666666
" +GAT" 332593 R(rel=2)@1000 0.8888888888888888
" +GAT" 332593 nDCG@10 0.6691436573039616
" +GAT" 443396 AP(rel=2) 0.028821622724859077
" +GAT" 443396 RR(rel=2) 1.0
" +GAT" 443396 P(rel=2)@3 0.3333333333333333
" +GAT" 443396 R(rel=2)@1000 0.07936507936507936
" +GAT" 443396 nDCG@10 0.266379247589265
