n_steps	lr	best_ndcg10	checkpoint
4	1e-3	0.0931	models/msmarco_data/hadamard_2_0_0.001_1e-05_128_0.1_transport_multistage_1_tctcolbert_ns4.pt
4	3e-4	0.0918	models/msmarco_data/hadamard_2_0_0.0003_1e-05_128_0.1_transport_multistage_1_tctcolbert_ns4.pt
4	1e-4	0.0000	models/msmarco_data/hadamard_2_0_0.0001_1e-05_128_0.1_transport_multistage_1_tctcolbert_ns4.pt
6	1e-3	0.0000	models/msmarco_data/hadamard_2_0_0.001_1e-05_128_0.1_transport_multistage_1_tctcolbert_ns6.pt
6	3e-4	0.0000	models/msmarco_data/hadamard_2_0_0.0003_1e-05_128_0.1_transport_multistage_1_tctcolbert_ns6.pt
6	1e-4	0.0000	models/msmarco_data/hadamard_2_0_0.0001_1e-05_128_0.1_transport_multistage_1_tctcolbert_ns6.pt
8	1e-3	0.0000	models/msmarco_data/hadamard_2_0_0.001_1e-05_128_0.1_transport_multistage_1_tctcolbert_ns8.pt
8	3e-4	0.0000	models/msmarco_data/hadamard_2_0_0.0003_1e-05_128_0.1_transport_multistage_1_tctcolbert_ns8.pt
8	1e-4	0.0000	models/msmarco_data/hadamard_2_0_0.0001_1e-05_128_0.1_transport_multistage_1_tctcolbert_ns8.pt
4	1e-4	0.0755	models/msmarco_data/hadamard_2_789_0.0001_1e-05_128_0.1_transport_multistage_1_tctcolbert_100_ns4.pt
4	3e-4	0.0918	models/msmarco_data/hadamard_2_789_0.0003_1e-05_128_0.1_transport_local_1_tctcolbert_ns4.pt
4	1e-4	0.0853	models/msmarco_data/hadamard_2_789_0.0001_1e-05_128_0.1_transport_local_1_tctcolbert_ns4.pt
